Image,h5_fooled,nit_h5,h5_wprediction,h5_to_tflite,h5_to_tflite_wprediction,h5_to_axc,h5_to_axc_wprediction,tflite_fooled,nit_tflite,tflite_wprediction,tflite_to_axc,tflite_to_axc_wprediction,axc_fooled,nit_axc,axc_wprediction,axc_to_h5_back
7166,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7167,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7169,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7170,True,1,0.99567235,False,0,False,0,True,1,0.890625,False,0,False,22,0,False
7171,True,1,0.99783427,False,0,False,0,True,1,0.859375,True,0.405471711679167,True,38,0.405471711679167,True
7173,True,1,0.8882814,False,0,False,0,False,1,0,False,0,False,97,0,False
7174,False,1,0,False,0,False,0,True,1,0.73828125,False,0,False,1,0,False
7175,True,1,0.9971814,False,0,False,0,True,1,0.890625,True,0.45568541559258485,False,1,0,False
7176,True,1,0.9997609,True,0.84375,True,0.5202967432874422,True,1,0.8984375,True,0.612438451677982,True,21,0.612438451677982,True
7177,True,1,0.992149,False,0,False,0,True,1,0.97265625,True,0.4154226642803501,True,6,0.4154226642803501,True
7178,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7179,False,1,0,False,0,False,0,True,1,0.88671875,False,0,False,26,0,False
7180,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7181,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7185,True,1,0.99963367,False,0,False,0,True,1,0.99609375,False,0,False,22,0,False
7186,True,1,0.9944723,False,0,False,0,True,1,0.95703125,False,0,False,1,0,False
7187,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7188,True,1,0.9760887,False,0,False,0,False,1,0,False,0,False,1,0,False
7189,True,1,0.843772,False,0,False,0,False,1,0,False,0,False,1,0,False
7190,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7191,True,1,0.9999777,False,0,False,0,True,6,0.703125,False,0,False,97,0,False
7193,True,1,0.9998926,False,0,False,0,True,1,0.99609375,True,0.5592079757445052,True,1,0.5592079757445052,True
7194,True,1,0.9997564,True,0.765625,False,0,True,1,0.99609375,True,0.5840625747373935,True,44,0.5840625747373935,True
7195,True,1,0.9900995,True,0.6640625,True,0.4194216129430523,True,1,0.921875,True,0.5098700665526626,True,7,0.5098700665526626,True
7196,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7197,True,1,0.8889084,False,0,False,0,False,1,0,False,0,False,1,0,False
7198,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7199,True,1,0.8279395,False,0,True,0.40970876038874265,False,1,0,False,0,True,85,0.40970876038874265,False
7200,True,1,0.9987496,False,0,False,0,False,1,0,False,0,False,1,0,False
7201,True,1,0.9742827,False,0,False,0,False,1,0,False,0,False,1,0,False
7204,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7205,False,1,0,False,0,False,0,True,1,0.9765625,False,0,False,97,0,False
7206,True,1,0.92753786,False,0,False,0,False,1,0,False,0,False,1,0,False
7207,True,4,0.7896559,True,0.99609375,True,0.7257792581625595,True,1,0.97265625,True,0.726855259008024,True,5,0.726855259008024,False
7208,True,28,0.8910339,True,0.5859375,False,0,False,1,0,False,0,False,1,0,False
7209,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7210,True,1,0.7423101,True,0.73828125,False,0,True,3,0.90234375,False,0,False,97,0,False
7211,True,1,0.8751347,False,0,False,0,True,1,0.89453125,False,0,False,1,0,False
7212,True,1,0.944587,False,0,False,0,True,1,0.9140625,False,0,False,1,0,False
7213,True,1,0.9980484,True,0.80859375,False,0,True,1,0.99609375,True,0.5830285010764439,True,1,0.5830285010764439,True
7215,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7216,True,1,0.99870205,True,0.66796875,False,0,True,1,0.90625,False,0,False,1,0,False
7218,True,1,0.9937202,True,0.51953125,True,0.7009704990412913,True,1,0.98046875,True,0.5737510235446042,True,1,0.5737510235446042,True
7220,True,1,0.9457155,False,0,False,0,True,2,0.84765625,True,0.568107225211797,True,6,0.568107225211797,False
7221,True,1,0.8107571,False,0,False,0,False,1,0,False,0,False,1,0,False
7222,True,1,0.99612254,True,0.9375,True,0.4580295241626784,True,1,0.99609375,True,0.6145998838526957,True,1,0.6145998838526957,False
7224,False,1,0,False,0,False,0,True,1,0.8671875,False,0,False,1,0,False
7225,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7226,True,1,0.9991247,False,0,False,0,False,1,0,False,0,False,1,0,False
7227,True,1,0.9698251,False,0,False,0,True,1,0.84765625,False,0,False,97,0,False
7229,True,1,0.99883336,True,0.98046875,True,0.6243176417847722,True,1,0.99609375,True,0.6134423690549465,True,1,0.6134423690549465,True
7230,True,3,0.86609364,False,0,False,0,True,2,0.84375,True,0.42460272847561964,True,97,0.42460272847561964,False
7232,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7233,True,1,0.99987423,False,0,False,0,True,1,0.875,True,0.3921723967646036,True,97,0.3921723967646036,True
7234,False,1,0,False,0,False,0,True,1,0.94921875,False,0,False,1,0,False
7235,True,1,0.9346213,False,0,False,0,True,2,0.75,False,0,False,17,0,False
7236,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7237,True,1,0.99971277,False,0,False,0,False,1,0,False,0,False,1,0,False
7238,True,1,0.99519676,False,0,False,0,False,1,0,False,0,False,1,0,False
7239,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7240,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7241,True,1,0.84165204,False,0,False,0,True,1,0.90234375,False,0,False,26,0,False
7243,True,1,0.9652556,True,0.96875,True,0.6436442769527211,True,1,0.9296875,True,0.7330986367122899,True,1,0.7330986367122899,False
7244,True,1,1.0,True,0.8046875,True,0.5505573891937834,True,1,0.99609375,True,0.5051466107562083,True,1,0.5051466107562083,True
7246,False,1,0,False,0,False,0,True,1,0.87109375,False,0,False,97,0,False
7247,True,1,0.9992368,False,0,False,0,True,1,0.84375,False,0,False,1,0,False
7248,True,1,0.9999572,True,0.46875,True,0.382376831324835,True,1,0.9921875,True,0.6470131039323738,True,3,0.6470131039323738,False
7249,True,1,0.9830835,True,0.54296875,False,0,True,1,0.98828125,True,0.4431843589176274,True,87,0.4431843589176274,True
7250,True,1,0.9995401,True,0.5625,False,0,True,1,0.921875,False,0,False,97,0,False
7251,True,1,0.845673,False,0,False,0,True,4,0.76953125,False,0,False,1,0,False
7252,True,1,0.99994135,False,0,False,0,True,1,0.9453125,True,0.43114210564036964,True,35,0.43114210564036964,True
7253,True,1,0.9986052,False,0,False,0,True,2,0.9765625,True,0.5861588334002384,False,1,0,False
7254,True,1,0.97920793,False,0,False,0,False,1,0,False,0,False,1,0,False
7256,True,3,0.8581546,False,0,False,0,False,1,0,False,0,False,1,0,False
7257,True,1,0.9354717,False,0,False,0,False,1,0,False,0,False,97,0,False
7258,True,1,0.9980933,True,0.76953125,True,0.39638189718602707,True,1,0.99609375,True,0.6872653740329072,True,11,0.6872653740329072,True
7259,True,1,0.9955546,False,0,False,0,False,1,0,False,0,False,1,0,False
7260,True,2,0.7208373,False,0,False,0,False,1,0,False,0,False,1,0,False
7261,True,1,0.9899302,True,0.94921875,True,0.515416714262406,True,1,0.99609375,True,0.5760912503698672,True,11,0.5760912503698672,True
7262,True,1,0.9845657,False,0,False,0,False,1,0,False,0,False,1,0,False
7263,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7264,True,1,0.98835295,False,0,False,0,False,1,0,False,0,False,1,0,False
7266,True,1,0.9974214,False,0,False,0,False,1,0,False,0,False,1,0,False
7268,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7269,True,1,0.97968,False,0,False,0,False,1,0,False,0,False,1,0,False
